J2000 E2000,,,,,,,,Multiplicity,,,,,,,,,,Names,,,,,,,,,,,,,,Positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motions,,,,,,,,,Galactic Kinematics,,,,,,,,,,,,,GALEX photometry,,,,,SDSS photometry,,,,,,,,,,,,,,,,,,,,,TYCHO photometry,,,,Johnson-Kron-Cousins photometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIR,,,,,,,,,,,,,WISE photometry,,,,,,,,,,,,,,,,,,,X-ray photometry,,,,,,,Photometry Derived Parameters,,,,,,,,,,,,,,,Spectroscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Derived spectroscopic,,,,,,,,,,,,,,,Membership,,,,,,,,,,,,,,,,,,,,,,,,,,rawRV,,,,,,,,,,,,,,,,rawParallax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Notes,
Rah,Ram,Ras,DECf,DECd,DECm,DECs,Lithium,# stars,sepfrom,separation,position angle,date,period,separation ref,delta mag,filter,deltaMag ref,Name,TYCHO-2,GJ,HD,HR,CD,1RXS,UCAC4,PPMXL,2MASS ID,SDSS ID,WISE ID,YPC,HIP,Raraw,eRAraw,DECraw,eDECraw,EPOCH,position ref,RA,eRA,DEC,eDEC,pi,epi,pi ref,rv,erv,rv ref,radius-based dist.,radius-based dist. Ref,Cluster Parallax,Cluster Parallax ref.,dist,edist,dist method,distance ref,rv_pred,erv_pred,rv_pred method,rv_pred ref,pmRA,epmRA,pmDEC,epmDEC,pm ref,pm,epm,pa,epa,U,eU,V,eV,W,eW,X,eX,Y,eY,Z,eZ,kinematic ref,FUV,eFUV,NUV,eNUV,GALEX joint,u',eu',u' flag,u' ref,g',eg',g' flag,g' ref,r',er',r' flag,r' ref,i',ei',i' flag,i' ref,z',ez',z' flag,z' ref,SDSS joint,Bt,eBt,Vt,eVt,Uj,eUj,Uj flag,Uj ref,Bj,eBj,Bj flag,Bj ref,Vj,eVj,Vj flag,Vj ref,Rkc,eRkc,Rkc flag,Rkc ref,Ikc,eIkc,Ikc flag,Ikc ref,optical joint?,Zuk,eZuk,Zuk flag,Zuk ref,Yuk,eYuk,Yuk flag,Yuk ref,J,eJ,J flag,J ref,H,eH,H flag,H ref,K,eK,K flag,K ref,NIR joint?,W1,eW1,W1 flag,W1 ref,W2,eW2,W2 flag,W2 ref,W3,eW3,W3 flag,W3 ref,W4,eW4,W4 flag,W4 ref,WISE joint?,variability,variability filter,X-ray,X joint?,eX-ray,hr1,ehr1,hr2,ehr2,MV,B-V,V-K,V-I,J-K,EB-V,EB-V ref,Mbol,eMbol,Mbol ref,Lx,eLx,Lx/Lbol,Lx/Lbol flag,LUV/Lbol,SpType,SpType ref,SpType joint,Teff,eTeff,Teff ref,Teff 2,eTeff 2,Teff 2 Ref,Teff 3,eTeff 3,Teff 3 ref,Teff 4,eTeff 4,Teff 4 ref,vsini,evsini,vsini flag,vsini ref,vsini2,evsini2,vsini flag 2,vsini2 ref,vsini3,evsini3,vsini flag 3,vsini3 ref,CaH Index,eCaH Index,CaH ref,CaH-Narrow Index,eCaH-Narrow,CaH-Narrow ref,H-alpha EW,eH-alpha EW,H-alpha ref,H-alpha EW 2,eH-alpha EW2,H-alpha 2 ref,H-alpha EW 3,eH-alpha EW 3,H-alpha 3 ref,Li6708 EW,eLi6708 EW,Li6708 EW flag,Li6708 ref,Li6708 EW2,eLi6708 EW2,Li6708 EW flag2,Li6708 ref2,Li6708 EW3,eLi6708 EW 3,Li6708 flag3,Li6708 ref3,Li Abundance,Li Abundance REF,K7699 EW,eK7699 EW,K7699 ref,Na8200 EW,eNa8200 EW,Na8200 Index,eNa8200 Index,Na8200 ref,Fe/H,eFe/H,Fe/H ref,Ba/H,eBa/H,Ba/Fe ref,RHK,eRHK,RHK ref,log g,elog g,log g ref,log g 2,elog g 2,log g 2 ref,GROUP,GROUP quality,GROUP1,%Cert 1,GROUP1 ref,GROUP2,%Cert 2,GROUP2 ref,GROUP3,%Cert 3,GROUP3 ref,GROUP4,%Cert 4,GROUP4 ref,GROUP5,%Cert 5,GROUP5 ref,GROUP6,%Cert 6,GROUP6 ref,GROUP7,%Cert 7,GROUP7 ref,GROUP8,%Cert 8,GROUP8 ref,RV1,eRV1,RV1 ref,RV1 flag,RV2,eRV2,RV2 ref,RV2 flag,RV3,eRV3,RV3 ref,RV3 flag,RV4,eRV4,RV4 ref,RV4 flag,pi1,epi1,pi1ref,pi1flag,pi2,epi2,pi2ref,pi2flag,pi3,epi3,pi3ref,pi3flag,pi4,epi4,pi4ref,pi4flag,pi5,epi5,pi5ref,pi5flag,pi6,epi6,pi6ref,pi6flag,pi7,epi7,pi7ref,pi7flag,pi8,epi8,pi8ref,pi8flag,Notes,Notes2
01,03,32.030,+,19,35,36.10,,,,,,,,,,,,J0103+1935 ,,,,,,,,,01033203+1935361,J010332.27+193536.3,J010332.31+193536.3,,,15.8834880,0.00,19.5933840,113.14,2450732.7503,2MASS,015.8836800,10.22,+19.5934011,113.62,46.90,7.60,F,-----,-----,,,,,,15.3,1.2,kinematic,Gagne2014a,5.3,1.3,kinematic,Gagne2014a,293.00,4.60,27.70,4.70,Gagne2014a,294.31,6.58,84.60,1.99,,,,,,,,,,,,,,,,,,,25.4319992065,0.9670000076,3,SDSS9,24.977,0.788,3,SDSS9,24.015,0.554,3,SDSS9,21.533,0.097,3,SDSS9,18.9890003204,0.0439999998,3,SDSS9,,  ,,,,,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,16.288,0.080,A,2MASS,14.897,0.056,A,2MASS,14.149,0.059,A,2MASS,,13.177,0.024,A,ALLWISE,12.705,0.026,A,ALLWISE,12.195,0.386,C,ALLWISE,8.176,--,U,ALLWISE,,,,,,,,,,,-----,-----,-----,-----,2.139,,,,,,,,,,,L6β,Gagne2014a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argus,,Argus,97.9,Gagne2014a,Argus,31.7,Gagne2014d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,7.6,Faherty2012,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
01,03,35.635,-,55,15,56.19,,3,A-B,0.25,61,2012,,Delorme2013,0.2,Ks,Delorme2013,SCR0103-5515A,,,,,,,,,01033563-5515561, ,J010335.77-551556.6,,,15.8984700,60.00,-55.2656060,80.00,2451472.5762,2MASS,015.8984779,60.00,-55.2656078,80.00,21.18,1.37,R,5.21,0.64,KGM,,,,,,,,,,,,,82.52,1.00,-33.34,1.00,Riedel2014,89.00,1.41,112.00,0.71,,,,,,,,,,,,,,,,,,,  ,,,,16.179,0.010,-,UCAC4,14.835,0.010,-,UCAC4,12.908,0.010,-,UCAC4,,,,,D,  ,,,,,,,,17.530,,,Girard2011,15.420,,,Girard2011,14.000,0.020,,Riedel2014,12.700,0.020,,Riedel2014,D,,,,,,,,,10.830,0.023,,Riedel2014,,,,Riedel2014,9.910,0.022,,Riedel2014,D,9.047,0.023,A,ALLWISE,8.804,0.020,A,ALLWISE,8.558,0.021,A,ALLWISE,7.817,0.164,B,ALLWISE,,0.021,R,,,,,,,,12.050,2.110,5.510,2.720,0.920,,,12.1,0.05,Kraus2014,,,,,,M4.5Ve,Riedel2014,J,,,,,,,,,,,,,19.2,2.4,,Kraus2014,,,,,,,,,,,,,,,-14.548,0.2,Riedel2014,,,,,,,-57.80,50,,Kraus2014,,,,,,,,,,,2.997,0.2,Riedel2014,,,1.252,0.02,Riedel2014,,,,,,,,,,,,,,,,Tuc-Hor,,10 Myr,,Riedel2014,Tuc-Hor,,Delorme2013,Tuc-Hor, Y - RV,Kraus2014,Tuc-Hor,99.3,Gagne2014d,,,,,,,,,,,,,7.30,2.60,Kraus2014,P,5.20,1.60,Gagne2014d,P,4.00,2.00,Malo2014a,P,,,,,21.18,1.37,Riedel2014,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
01,03,35.635,-,55,15,56.19,,0,A-B,0.25,61,2012,,Delorme2013,0.2,Ks,Delorme2013,SCR0103-5515B,,,,,,,,,01033563-5515561, ,J010335.77-551556.6,,,15.8984700,60.00,-55.2656060,80.00,2451472.5762,2MASS,015.8984779,60.00,-55.2656078,80.00,21.18,1.37,R,5.21,0.64,KGM,,,,,,,,,,,,,82.52,1.00,-33.34,1.00,Riedel2014,89.00,1.41,112.00,0.71,,,,,,,,,,,,,,,,,,,  ,,,,16.179,0.010,-,UCAC4,14.835,0.010,-,UCAC4,12.908,0.010,-,UCAC4,,,,,D,  ,,,,,,,,17.530,,,Girard2011,15.420,,,Girard2011,,,,Riedel2014,12.970,,,Riedel2014,D,,,,,,,,,11.040,,,Riedel2014,,,,Riedel2014,10.110,,,Riedel2014,D,9.047,0.023,A,ALLWISE,8.804,0.020,A,ALLWISE,8.558,0.021,A,ALLWISE,7.817,0.164,B,ALLWISE,,,,,,,,,,,12.050,2.110,5.310,2.450,0.930,,,12.1,0.05,Kraus2014,,,,,,,,,,,,,,,,,,,,,35.2,7.0,,Malo2014a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuc-Hor,,10 Myr,,Riedel2014,Tuc-Hor,,Delorme2013,Tuc-Hor, Y - RV,Kraus2014,Tuc-Hor,99.3,Gagne2014d,,,,,,,,,,,,,7.30,2.60,Kraus2014,P,5.20,1.60,Gagne2014d,P,4.00,2.00,Malo2014a,P,,,,,21.18,1.37,Riedel2014,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
01,03,35.635,-,55,15,56.19,,0,A-C,1.78,340,2012,,Delorme2013,2.9,Ks,Delorme2013,SCR0103-5515C,,,,,,,,,01033563-5515561, ,J010335.77-551556.6,,,15.8984700,60.00,-55.2656060,80.00,2451472.5762,2MASS,015.8984779,60.00,-55.2656078,80.00,21.18,1.37,R,5.21,0.64,KGM,,,,,,,,,,,,,82.52,1.00,-33.34,1.00,Riedel2014,89.00,1.41,112.00,0.71,,,,,,,,,,,,,,,,,,,  ,,,,16.179,0.010,-,UCAC4,14.835,0.010,-,UCAC4,12.908,0.010,-,UCAC4,,,,,D,  ,,,,,,,,17.530,,,Girard2011,15.420,,,Girard2011,,,,Riedel2014,18.140,,,Riedel2014,D,,,,,,,,,14.920,,,Riedel2014,,,,Riedel2014,13.690,,,Riedel2014,D,9.047,0.023,A,ALLWISE,8.804,0.020,A,ALLWISE,8.558,0.021,A,ALLWISE,7.817,0.164,B,ALLWISE,,,,,,,,,,,12.050,2.110,1.730,-2.720,1.230,,,12.1,0.05,Kraus2014,,,,,,,,,,,,,,,,,,,,,35.2,7.0,,Malo2014a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuc-Hor,,10 Myr,,Riedel2014,Tuc-Hor,,Delorme2013,Tuc-Hor, Y - RV,Kraus2014,Tuc-Hor,99.3,Gagne2014d,,,,,,,,,,,,,7.30,2.60,Kraus2014,P,5.20,1.60,Gagne2014d,P,4.00,2.00,Malo2014a,P,,,,,21.18,1.37,Riedel2014,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
01,03,40.120,+,40,51,29.25,,0,Aa-Ab,,,,,,2.37,K_s,Shkolnik2012,G 132-050 B,2803-00800-1,,,,,,655-004167,'2225240560788265042,01034013+4051288,J010340.19+405128.1,J010340.24+405127.4,,4967,15.9167914,1.62,40.8585235,1.41,2448349.0625,vanLeeuwen2007,015.9171862,17.05,+40.8581263,13.63,33.45,2.33,v,-10.90,0.40,M,,,,,29.2,1.8,kinematic,Schlieder2012a,,,,,122.86,1.94,-163.46,1.55,vanLeeuwen2007,204.48,2.48,143.07,0.35,,,,,,,,,,,,,,,,,,,14.9530000687,0.0060000001,3,SDSS9,11.533,0.001,3,SDSS9,13.633,0.008,3,SDSS9,12.237,0.004,3,SDSS9,12.0909996033,0.0109999999,3,SDSS9,J,12.801,0.234,11.124,0.074,,,,,11.957,0.110,-,UCAC4,10.695,0.080,-,UCAC4,,,,,,,,,J,,,,,,,,,8.134,0.020,5,UCAC4,7.466,0.060,5,UCAC4,7.325,0.020,5,UCAC4,J,7.108,0.036,A,ALLWISE,7.157,0.019,A,ALLWISE,7.093,0.017,A,ALLWISE,6.917,0.061,A,ALLWISE,J,,,,,,,,,,8.317,1.262,3.370,-----,0.809,,,,,,,,,,, ,Shkolnik2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AB Dor,(good),20-150,,Shkolnik2009,AB Dor,65.7,Malo2013,AB Dor,4,Schlieder2012a,AB Dor,BF,Gagne2014a,AB Dor,97,Malo2014a,,,,,,,,,,-10.90,0.40,Malo2013,P,,,,,,,,,,,,,33.45,2.33,vanLeeuwen2007,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
01,03,40.120,+,40,51,29.25,,5,Aab-Babc,25.6,121,2002,,WDS,2.37,K_s,Shkolnik2012,G 132-050 A,2803-00800-1,,,,,,655-004167,'2225240560788265042,01034013+4051288,J010340.19+405128.1,J010340.24+405127.4,,4967,15.9167914,1.62,40.8585235,1.41,2448349.0625,vanLeeuwen2007,015.9171862,17.05,+40.8581263,13.63,33.45,2.33,v,-10.90,0.40,M,,,,,29.2,1.8,kinematic,Schlieder2012a,,,,,122.86,1.94,-163.46,1.55,vanLeeuwen2007,204.48,2.48,143.07,0.35,,,,,,,,,,,,,,,,,,,14.9530000687,0.0060000001,3,SDSS9,11.533,0.001,3,SDSS9,13.633,0.008,3,SDSS9,12.237,0.004,3,SDSS9,12.0909996033,0.0109999999,3,SDSS9,J,12.801,0.234,11.124,0.074,,,,,11.957,0.110,-,UCAC4,10.695,0.080,-,UCAC4,,,,,,,,,J,,,,,,,,,8.134,0.020,5,UCAC4,7.466,0.060,5,UCAC4,7.325,0.020,5,UCAC4,J,7.108,0.036,A,ALLWISE,7.157,0.019,A,ALLWISE,7.093,0.017,A,ALLWISE,6.917,0.061,A,ALLWISE,J,,,,,,,,,,8.317,1.262,3.370,-----,0.809,,,,,,-3.51,,-4.38,,, ,Shkolnik2012,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,0.008,Shkolnik2009,1.41,0.013,Shkolnik2009,-1.9,0.21,Malo2013,,,,,,,,,,,,,,,,,,,,,0.99,0.16,Shkolnik2009,,,,,,,,,,,,,,,,,,,,,AB Dor,Good,20-150,,Shkolnik2009,AB Dor,65.7,Malo2013,AB Dor,4,Schlieder2012a,AB Dor,BF,Gagne2014a,AB Dor,97,Malo2014a,,,,,,,,,,-10.90,0.40,Malo2013,P,,,,,,,,,,,,,33.45,2.33,vanLeeuwen2007,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
01,03,42.110,+,40,51,15.80,,0,Aab-Babc,25.6,121,2002,,WDS,2.48,?,WDS,G 132-51 A,,,,,,,655-004169,'2225240197994017568,01034210+4051158,J010342.34+405114.7,J010342.24+405114.2,,,15.9255386,100.00,40.8543089,100.00,2451544.5000,UCAC4,015.9255386,100.00,+40.8543089,100.00,33.45,2.33,v,-10.75,0.03,SMS,,,,,28.7,1.8,kinematic,Schlieder2012a,,,,,132.00,8.00,-164.00,8.00,UCAC4,210.52,11.31,141.17,0.66,-5.700,1.200,-26.400,1.000,-16.600,1.600,,,,,,,Shkolnik2012,,,,,,17.5359992981,0.0120000001,3,SDSS9,15.070,0.003,3,SDSS9,13.466,0.002,3,SDSS9,14.350,0.011,3,SDSS9,11.2770004272,0.0089999996,3,SDSS9,J,  ,,,,,,,,14.660,0.060,-,UCAC4,13.097,0.060,-,UCAC4,,,,,10.300,,,Shkolnik2012,J,,,,,,,,,9.372,0.040,4,UCAC4,8.839,0.050,24,UCAC4,8.513,0.030,4,UCAC4,J,8.106,0.022,A,ALLWISE,7.935,0.019,A,ALLWISE,7.872,0.018,A,ALLWISE,7.621,0.107,A,ALLWISE,J,,,,,,,,,,10.719,1.563,4.584,2.797,0.859,,,,,,-3.83,,-4.44,,,M2.6,Shkolnik2012,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,0.008,Shkolnik2009,1.56,0.013,Shkolnik2009,-4.78,0.21,Shkolnik2009,,,,,,,,,,,,,,,,,,,,,1.04,0.16,Shkolnik2009,,,,,,,,,,,,,,,,,,,,,AB Dor,(good),35-300,,Shkolnik2009,AB Dor,56\%,Shkolnik2012,AB Dor,4,Schlieder2012a,AB Dor,BF,Gagne2014a,AB Dor,97,Malo2014a,,,,,,,,,,-11.93,1.29,Schlieder2012a,P,-10.90,0.40,Malo2013,P,-10.60,0.30,Shkolnik2012,P,,,,,33.45,2.33,vanLeeuwen2007,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
01,03,42.110,+,40,51,15.80,,0,Ba-Bbc,2.5,97,2009,,WDS,0.50,?,WDS,G 132-51 Ba (W),,,,,,,655-004169,'2225240197994017568,01034210+4051158,J010342.34+405114.7,J010342.24+405114.2,,,15.9255386,100.00,40.8543089,100.00,2451544.5000,UCAC4,015.9255386,100.00,+40.8543089,100.00,33.45,2.33,v,-10.75,0.03,SMS,,,,,28.7,1.8,kinematic,Schlieder2012a,,,,,132.00,8.00,-164.00,8.00,UCAC4,210.52,11.31,141.17,0.66,-5.700,1.200,-26.400,1.000,-16.600,1.600,,,,,,,Shkolnik2012,,,,,,17.5359992981,0.0120000001,3,SDSS9,15.070,0.003,3,SDSS9,13.466,0.002,3,SDSS9,14.350,0.011,3,SDSS9,11.2770004272,0.0089999996,3,SDSS9,J,  ,,,,,,,,14.660,0.060,-,UCAC4,13.097,0.060,-,UCAC4,,,,,10.300,,,Shkolnik2012,J,,,,,,,,,9.372,0.040,4,UCAC4,8.839,0.050,24,UCAC4,8.513,0.030,4,UCAC4,J,8.106,0.022,A,ALLWISE,7.935,0.019,A,ALLWISE,7.872,0.018,A,ALLWISE,7.621,0.107,A,ALLWISE,J,,,,,,,,,,10.719,1.563,4.584,2.797,0.859,,,,,,,,,,,M2.6,Shkolnik2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AB Dor,(good),35-300,,Shkolnik2009,AB Dor,56\%,Shkolnik2012,AB Dor,4,Schlieder2012a,AB Dor,BF,Gagne2014a,AB Dor,97,Malo2014a,,,,,,,,,,-11.93,1.29,Schlieder2012a,P,-10.90,0.40,Malo2013,P,-10.60,0.30,Shkolnik2012,P,,,,,33.45,2.33,vanLeeuwen2007,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
01,03,42.110,+,40,51,15.80,,0,Bb-Bc,,,,,,,,,G 132-51 Bb (E),,,,,,,655-004169,'2225240197994017568,01034210+4051158,J010342.34+405114.7,J010342.24+405114.2,,,15.9255386,100.00,40.8543089,100.00,2451544.5000,UCAC4,015.9255386,100.00,+40.8543089,100.00,33.45,2.33,v,-10.75,0.03,SMS,,,,,28.7,1.8,kinematic,Schlieder2012a,,,,,132.00,8.00,-164.00,8.00,UCAC4,210.52,11.31,141.17,0.66,-5.500,1.200,-26.600,1.000,-16.500,1.600,,,,,,,Shkolnik2012,,,,,,17.5359992981,0.0120000001,3,SDSS9,15.070,0.003,3,SDSS9,13.466,0.002,3,SDSS9,14.350,0.011,3,SDSS9,11.2770004272,0.0089999996,3,SDSS9,J,  ,,,,,,,,14.660,0.060,-,UCAC4,13.097,0.060,-,UCAC4,,,,,10.300,,,Shkolnik2012,J,,,,,,,,,9.372,0.040,4,UCAC4,8.839,0.050,24,UCAC4,8.513,0.030,4,UCAC4,J,8.106,0.022,A,ALLWISE,7.935,0.019,A,ALLWISE,7.872,0.018,A,ALLWISE,7.621,0.107,A,ALLWISE,J,,,,,,,,,,10.719,1.563,4.584,2.797,0.859,,,,,,,,,,,M3.8,Shkolnik2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AB Dor,(good),35-300,,Shkolnik2009,AB Dor,55\%,Shkolnik2012,AB Dor,4,Schlieder2012a,AB Dor,BF,Gagne2014a,AB Dor,97,Malo2014a,,,,,,,,,,-11.93,1.29,Schlieder2012a,P,-10.90,0.40,Malo2013,P,-10.60,0.30,Shkolnik2012,P,,,,,33.45,2.33,vanLeeuwen2007,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
01,03,48.004,+,01,21,56.29,,0,A-B,16.2,254,2011,,WDS,,,,BD+00 174 B,0019-01459-1,,6288 B,,,,,'2036089492491858297,01034801+0121562, ,J010348.11+012155.7,,,15.9500330,67.00,1.3656420,67.00,2451544.5000,PPMXL,015.9500330,67.00,+01.3656420,67.00,16.63,0.42,v,5.90,1.78,B,,,0.212,Eggen1991,,,,,,,,,130.80,1.60,-36.20,1.60,PPMXL,135.72,2.26,105.47,0.94,20.700,,-19.000,,-11.000,,14.500,,17.600,,-41.400,,Eggen1991,,,,,,  ,,,,  ,,,, ,,,, ,,,,,,,,,  ,,,,,,,,10.107,0.043,-,ASCC3,9.263,0.028,-,ASCC3,,,,,,,,,,,,,,,,,,8.011,0.027,A,2MASS,7.701,0.047,A,2MASS,7.553,0.020,A,2MASS,,7.476,0.030,A,ALLWISE,7.504,0.023,A,ALLWISE,7.505,0.021,A,ALLWISE,6.847,0.095,A,ALLWISE,,,,,,,,,,,5.367,0.844,1.710,-----,0.458,,,,,,,,,,,G8V,Eggen1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC 2391 Supercluster,,IC 2391 Supercluster,,Eggen1991,,,,,,,,,,,,,,,,,,,,,,5.90,1.78,Barbier-Brossat2000,P,,,,,,,,,,,,,16.63,0.42,vanLeeuwen2007,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
01,03,49.028,+,01,22,00.64,,2,A-B,16.2,254,2011,,WDS,,,,26 Cet,0019-01437-1,,006288,,,,457-001380,'2036089494147161306,01034902+0122005, ,J010349.03+012159.5,,4979,15.9539863,0.38,1.3669453,0.30,2448349.0625,vanLeeuwen2007,015.9542819,3.78,+01.3668454,2.73,16.63,0.42,v,5.87,0.58,EB,,,0.212,Eggen1991,,,,,,,,,121.60,0.43,-41.12,0.31,vanLeeuwen2007,128.36,0.53,108.68,0.14,20.700,,-19.000,,-11.000,,14.500,,17.600,,-41.400,,Eggen1991,,,,,,  ,,,,  ,,,, ,,,, ,,,,,,,,,6.374,0.014,6.097,0.010,,,,,6.395,0.990,-,UCAC4,6.109,0.990,-,UCAC4,,,,,,,,,,,,,,,,,,5.614,0.020,5,UCAC4,5.506,0.040,5,UCAC4,5.475,0.030,5,UCAC4,,4.928,0.192,B,ALLWISE,5.209,0.049,A,ALLWISE,5.401,0.012,A,ALLWISE,5.382,0.045,A,ALLWISE,,,,,,,,,,,2.213,0.286,0.634,-----,0.139,,,,,,,,,,,F1V,Eggen1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC 2391 Supercluster,,IC 2391 Supercluster,,Eggen1991,,,,,,,,,,,,,,,,,,,,,,8.00,5.00,Eggen1991,P,5.60,1.78,Barbier-Brossat2000,P,,,,,,,,,16.63,0.42,vanLeeuwen2007,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
01,04,37.828,+,35,58,32.74,,1,,,,,,,,,,J01046+3558,,,,,,,630-003433,'2216079683463834292,01043783+3558326, ,J010437.88+355832.0,,,16.1576406,23.00,35.9757528,36.00,2451544.5000,UCAC4,016.1576406,23.00,+35.9757528,36.00,-----,-----,,-10.10,1.32,S,,,,,66.2,6.5,kinematic,Schlieder2012a,,,,,68.20,5.60,-63.40,5.70,UCAC4,93.12,7.99,132.91,0.45,,,,,,,,,,,,,,,,,,,  ,,,,15.470,0.020,-,UCAC4,14.146,0.030,-,UCAC4,12.728,0.080,-,UCAC4,,,,,,  ,,,,,,,,16.223,0.090,-,UCAC4,14.728,0.040,-,UCAC4,,,,,,,,,,,,,,,,,,10.706,0.020,5,UCAC4,10.099,0.030,5,UCAC4,9.872,0.020,5,UCAC4,,9.682,0.024,A,ALLWISE,9.577,0.021,A,ALLWISE,9.443,0.031,A,ALLWISE,8.891,--,U,ALLWISE,,,,,,,,,,,-----,1.495,4.856,-----,0.834,,,,,,-3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AB Dor,1,Schlieder2012a,,,,,,,,,,,,,,,,,,,,,,-10.10,1.32,Schlieder2012a,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
01,04,40.076,+,11,29,48.58,,1,,,,,,,,,,J01046+1129,,,,,,,508-001787,'2047361281444124503,01044008+1129485,J010440.12+112947.7,J010440.14+112947.5,,,16.1669524,67.00,11.4968298,70.00,2451544.5000,UCAC4,016.1669524,67.00,+11.4968298,70.00,-----,-----,,-0.40,1.47,S,,,,,53.3,4.2,kinematic,Schlieder2012a,,,,,91.40,3.90,-88.70,4.50,UCAC4,127.36,5.95,134.14,0.46,,,,,,,,,,,,,,,,,,,20.3789997101,0.057,3,SDSS9,17.589,0.005,3,SDSS9,16.014,0.004,3,SDSS9,14.160,0.004,3,SDSS9,13.138999939,0.0040000002,3,SDSS9,,  ,,,,,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,11.545,0.020,5,UCAC4,10.948,0.020,5,UCAC4,10.657,0.020,5,UCAC4,,10.468,0.023,A,ALLWISE,10.256,0.019,A,ALLWISE,10.031,0.055,A,ALLWISE,8.985,--,U,ALLWISE,,,,,,,,,,,-----,-----,-----,-----,0.888,,,,,,-4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AB Dor,1,Schlieder2012a,,,,,,,,,,,,,,,,,,,,,,-0.40,1.47,Schlieder2012a,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
01,05,16.160,-,48,41,16.90,,,,,,,,,,,,J010516.16-484116.9,,,,,,,207-001038,,01051615-4841168, ,J010516.17-484116.9,,,16.3172483,23.00,-48.6882212,23.00,2451544.5000,UCAC4,016.3172483,23.00,-48.6882212,23.00,-----,-----,,-----,-----,,,,,,,,,,,,,,46.80,1.70,-15.60,1.70,UCAC4,49.33,2.40,108.43,2.50,,,,,,,,,,,,,,,,,,,  ,,,,15.067,0.010,-,UCAC4,13.763,0.040,-,UCAC4,13.035,0.090,-,UCAC4,,,,,,  ,,,,,,,,15.650,,,Girard2011,14.480,,,Girard2011,,,,,,,,,,,,,,,,,,11.837,0.040,4,UCAC4,11.117,0.050,5,UCAC4,10.887,0.040,4,UCAC4,,10.546,0.024,A,ALLWISE,10.512,0.021,A,ALLWISE,10.446,0.068,A,ALLWISE,9.199,--,U,ALLWISE,,,,,,,,,,,-----,1.170,3.593,-----,0.950,,,,,,,,<-2.56,,,M5.5,Rodriguez2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
